,player,position
130,James Garner,CM
131,Saman Ghoddos,FB
132,Morgan Gibbs-White,"AM, CM"
133,Billy Gilmour,CM
134,Ben Godfrey,FB
135,André Gomes,CM
136,João Gomes,CM
137,Toti Gomes,CB
138,Joe Gomez,FB
139,Anthony Gordon,AM
140,Ryan Gravenberch,CM
141,Jack Grealish,AM
142,Pascal Groß,"CM, FB"
143,Marc Guéhi,CB
144,Bruno Guimarães,CM
145,Malo Gusto,FB
146,Joško Gvardiol,FB
147,Erling Haaland,FW
148,Lewis Hall,FB
149,Gustavo Hamer,"CM, AM"
150,Jack Harrison,CM
151,Daiki Hashioka,CB
152,Kai Havertz,"CM, FW"
153,Jan Paul van Hecke,CB
154,Hwang Hee-chan,"FW, AM"
155,Son Heung-min,"FW, AM"
156,Aaron Hickey,FB
157,Jack Hinshelwood,FB
158,Mason Holgate,CB
159,Callum Hudson-Odoi,AM
160,Will Hughes,CM
161,Pierre Højbjerg,CM
162,Rasmus Højlund,FW
163,Igor,"FB, CB"
164,Alexander Isak,FW
165,Alex Iwobi,"AM, CM"
166,Nicolas Jackson,FW
167,Vitaly Janelt,"CM, FB"
168,Mathias Jensen,CM
169,Gabriel Jesus,"FW, AM"
170,Raúl Jiménez,FW
171,João Pedro,"AM, FW"
172,Joelinton,CM
173,Ryan John Giles,FB
174,Ben Johnson,FB
175,Brennan Johnson,AM
176,Curtis Jones,CM
177,Jorginho,CM
178,Diogo Jota,"AM, FW"
179,Mathias Jørgensen,CB
180,Issa Kaboré,FB
181,Boubacar Kamara,CM
182,Lloyd Kelly,"FB, CB"
183,Milos Kerkez,FB
184,Max Kilman,CB
185,Jakub Kiwior,FB
186,Justin Kluivert,AM
187,Luca Koleosho,"AM, CM"
188,Ibrahima Konaté,CB
189,Ezri Konsa,"CB, FB"
190,Mateo Kovačić,CM
191,Emil Krafth,"CB, FB"
192,Mohammed Kudus,AM
193,Dejan Kulusevski,AM
194,Adam Lallana,AM
195,Tariq Lamptey,FB
196,Yasser Larouci,FB
197,Jamaal Lascelles,CB
198,Mario Lemina,CM
199,Clément Lenglet,CB
200,Jefferson Lerma,CM
201,Rico Lewis,"CM, FB"
202,Keane Lewis-Potter,"FB, AM"
203,Victor Lindelöf,"CB, FB"
204,Valentino Livramento,FB
205,Giovani Lo Celso,CM
206,Tom Lockyer,CB
207,Sean Longstaff,CM
208,Max Lowe,FB
209,Douglas Luiz,CM
210,Saša Lukić,CM
211,Alexis Mac Allister,CM
212,James Maddison,AM
213,Noni Madueke,AM
214,Gabriel Magalhães,CB
215,Harry Maguire,CB
216,Kobbie Mainoo,CM
217,Orel Mangala,CM
218,Solly March,AM
219,Anthony Martial,FW
220,Gabriel Martinelli,AM
221,Lisandro Martínez,CB
222,Pape Matar Sarr,CM
223,Jean-Philippe Mateta,FW
224,Joël Matip,CB
225,Neal Maupay,FW
226,Konstantinos Mavropanos,CB
227,Bryan Mbeumo,"AM, FW"
228,James Mcatee,"CM, AM"
229,Oliver McBurnie,FW
230,John McGinn,"CM, AM"
231,Dwight McNeil,CM
232,Scott McTominay,CM
233,Ben Mee,CB
234,Teden Mengi,CB
235,Chris Mepham,CB
236,Lewis Miley,CM
237,James Milner,FB
238,Tyrick Mitchell,"FB, CM"
239,Kaoru Mitoma,AM
240,Jakub Moder,AM
