player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,matches,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Boris Radunović,rs SRB,GK,Cagliari,27,1996,7.0,7.0,630.0,7.0,12.0,1.71,27.0,16.0,55.6,0.0,2.0,5.0,2.0,28.6,1.0,0.0,0.0,1.0,0.0,Matches,0.0,1.0,1.0,10.1,0.38,-0.9,-0.13,41.0,91.0,45.1,156.0,31.0,35.9,37.0,66.0,53.0,43.8,98.0,6.0,6.1,4.0,0.57,11.2
Federico Ravaglia,it ITA,GK,Bologna,23,1999,6.0,6.0,535.0,5.9,3.0,0.5,18.0,13.0,83.3,4.0,1.0,1.0,4.0,66.7,1.0,0.0,1.0,0.0,100.0,Matches,1.0,0.0,0.0,5.5,0.25,2.5,0.43,14.0,49.0,28.6,172.0,23.0,18.0,25.4,34.0,52.9,41.0,73.0,1.0,1.4,4.0,0.67,17.1
Francesco Rossi,it ITA,GK,Atalanta,32,1991,1.0,0.0,5.0,0.1,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.8,0.75,0.8,13.52,0.0,1.0,0.0,1.0,1.0,0.0,14.0,1.0,100.0,67.0,2.0,0.0,0.0,0.0,0.0,0.0
Simone Scuffet,it ITA,GK,Cagliari,27,1996,31.0,31.0,2789.0,31.0,55.0,1.77,129.0,76.0,59.7,8.0,10.0,13.0,3.0,9.7,3.0,3.0,0.0,0.0,0.0,Matches,3.0,9.0,2.0,45.1,0.33,-7.9,-0.25,161.0,452.0,35.6,684.0,106.0,43.3,37.1,243.0,64.2,46.9,482.0,22.0,4.6,20.0,0.65,12.1
Marco Silvestri,it ITA,GK,Udinese,32,1991,17.0,17.0,1530.0,17.0,28.0,1.65,68.0,40.0,67.6,1.0,11.0,5.0,4.0,23.5,6.0,6.0,0.0,0.0,0.0,Matches,0.0,2.0,0.0,25.7,0.29,-2.3,-0.14,57.0,168.0,33.9,345.0,68.0,33.6,32.3,105.0,49.5,42.1,282.0,5.0,1.8,7.0,0.41,13.1
Łukasz Skorupski,pl POL,GK,Bologna,32,1991,32.0,32.0,2880.0,32.0,29.0,0.91,106.0,77.0,75.5,14.0,13.0,5.0,13.0,40.6,6.0,3.0,1.0,2.0,25.0,Matches,1.0,3.0,1.0,26.6,0.23,-1.4,-0.05,103.0,297.0,34.7,829.0,136.0,26.3,29.6,188.0,42.0,38.7,432.0,12.0,2.8,15.0,0.47,12.2
Daniele Sommariva,it ITA,GK,Genoa,26,1997,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,100.0,54.5,1.0,100.0,76.0,2.0,1.0,50.0,0.0,0.0,15.0
Yann Sommer,ch SUI,GK,Inter,34,1988,34.0,34.0,3060.0,34.0,19.0,0.56,98.0,78.0,82.7,27.0,6.0,1.0,19.0,55.9,4.0,2.0,1.0,1.0,33.3,Matches,0.0,3.0,0.0,25.5,0.23,6.5,0.19,104.0,226.0,46.0,1033.0,120.0,17.4,26.1,201.0,22.9,27.9,395.0,18.0,4.6,14.0,0.41,12.1
Alessandro Sorrentino,it ITA,GK,Monza,21,2002,7.0,5.0,548.0,6.1,16.0,2.63,32.0,16.0,62.5,0.0,1.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,14.4,0.34,-1.6,-0.27,18.0,56.0,32.1,151.0,29.0,26.5,30.6,42.0,38.1,36.1,62.0,3.0,4.8,3.0,0.49,16.8
Marco Sportiello,it ITA,GK,Milan,31,1992,7.0,7.0,630.0,7.0,11.0,1.57,33.0,23.0,69.7,3.0,3.0,1.0,2.0,28.6,1.0,1.0,0.0,0.0,0.0,Matches,0.0,0.0,1.0,8.9,0.25,-1.1,-0.15,20.0,51.0,39.2,230.0,40.0,20.4,26.9,17.0,23.5,29.1,81.0,5.0,6.2,9.0,1.29,15.4
Mile Svilar,rs SRB,GK,Roma,23,1999,15.0,15.0,1350.0,15.0,19.0,1.27,77.0,58.0,76.6,7.0,4.0,4.0,5.0,33.3,2.0,1.0,1.0,0.0,50.0,Matches,0.0,3.0,1.0,20.2,0.24,2.2,0.14,44.0,116.0,37.9,516.0,77.0,15.9,25.3,89.0,38.2,36.2,208.0,16.0,7.7,7.0,0.47,12.0
Wojciech Szczęsny,pl POL,GK,Juventus,33,1990,35.0,35.0,3150.0,35.0,30.0,0.86,108.0,79.0,74.1,17.0,13.0,5.0,15.0,42.9,3.0,2.0,1.0,0.0,33.3,Matches,0.0,4.0,2.0,28.3,0.24,0.3,0.01,147.0,340.0,43.2,828.0,134.0,32.0,32.8,174.0,43.1,40.2,555.0,26.0,4.7,20.0,0.57,11.6
Pietro Terracciano,it ITA,GK,Fiorentina,33,1990,33.0,33.0,2970.0,33.0,35.0,1.06,126.0,90.0,77.0,15.0,8.0,10.0,8.0,24.2,7.0,6.0,1.0,0.0,14.3,Matches,3.0,5.0,0.0,40.2,0.27,5.2,0.16,164.0,382.0,42.9,1051.0,120.0,29.0,32.1,176.0,43.8,38.2,307.0,7.0,2.3,23.0,0.7,14.6
Stefano Turati,it ITA,GK,Frosinone,21,2001,31.0,31.0,2745.0,30.5,58.0,1.9,152.0,94.0,65.1,6.0,9.0,16.0,4.0,12.9,7.0,5.0,1.0,1.0,16.7,Matches,0.0,10.0,1.0,47.5,0.28,-9.5,-0.31,72.0,316.0,22.8,919.0,147.0,27.3,29.2,144.0,45.1,38.8,412.0,18.0,4.4,19.0,0.62,13.7
Noah Atubolu,de GER,GK,Freiburg,21,2002,34.0,34.0,3060.0,34.0,58.0,1.71,158.0,99.0,65.2,11.0,9.0,14.0,10.0,29.4,5.0,3.0,2.0,0.0,40.0,Matches,1.0,5.0,1.0,50.0,0.3,-7.0,-0.21,193.0,568.0,34.0,1148.0,160.0,35.4,34.2,241.0,67.2,50.7,485.0,31.0,6.4,30.0,0.88,13.6
Daniel Batz,de GER,GK,Mainz 05,32,1991,4.0,4.0,360.0,4.0,3.0,0.75,17.0,14.0,82.4,0.0,2.0,2.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,Matches,1.0,0.0,0.0,2.4,0.15,-0.6,-0.15,18.0,58.0,31.0,132.0,14.0,38.6,34.7,21.0,33.3,34.8,38.0,4.0,10.5,2.0,0.5,11.3
Oliver Baumann,de GER,GK,Hoffenheim,33,1990,34.0,34.0,3060.0,34.0,66.0,1.94,211.0,143.0,69.7,13.0,7.0,14.0,2.0,5.9,5.0,2.0,3.0,0.0,60.0,Matches,3.0,9.0,1.0,68.6,0.31,3.6,0.11,208.0,529.0,39.3,1159.0,165.0,33.7,32.7,249.0,55.4,44.9,545.0,31.0,5.7,73.0,2.15,16.7
Janis Blaswich,de GER,GK,RB Leipzig,32,1991,21.0,21.0,1890.0,21.0,30.0,1.43,76.0,46.0,65.8,10.0,4.0,7.0,5.0,23.8,4.0,4.0,0.0,0.0,0.0,Matches,0.0,7.0,0.0,25.3,0.28,-4.7,-0.22,57.0,155.0,36.8,822.0,89.0,14.7,25.7,134.0,25.4,30.7,251.0,16.0,6.4,37.0,1.76,17.6
Fabian Bredlow,de GER,GK,Stuttgart,28,1995,4.0,4.0,360.0,4.0,3.0,0.75,22.0,19.0,86.4,3.0,1.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,5.0,0.23,2.0,0.49,22.0,61.0,36.1,168.0,15.0,31.5,31.0,11.0,72.7,51.7,55.0,1.0,1.8,5.0,1.25,16.6
Alexander Brunst,de GER,GK,Darmstadt 98,28,1995,3.0,3.0,270.0,3.0,10.0,3.33,17.0,7.0,41.2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,2.0,0.0,6.3,0.37,-3.7,-1.25,33.0,72.0,45.8,129.0,13.0,41.1,36.0,21.0,90.5,59.6,51.0,3.0,5.9,9.0,3.0,19.1
Koen Casteels,be BEL,GK,Wolfsburg,31,1992,25.0,25.0,2250.0,25.0,39.0,1.56,115.0,78.0,67.8,8.0,6.0,11.0,4.0,16.0,3.0,2.0,0.0,1.0,0.0,Matches,0.0,2.0,2.0,36.4,0.3,-0.6,-0.03,161.0,390.0,41.3,786.0,118.0,36.3,35.0,161.0,65.2,48.4,335.0,25.0,7.5,38.0,1.52,15.7
Finn Dahmen,de GER,GK,Augsburg,25,1998,31.0,31.0,2790.0,31.0,52.0,1.68,158.0,106.0,71.5,10.0,9.0,12.0,3.0,9.7,10.0,7.0,2.0,1.0,22.2,Matches,0.0,10.0,2.0,49.3,0.26,-0.7,-0.02,169.0,450.0,37.6,1151.0,92.0,30.8,32.4,187.0,51.3,44.3,484.0,28.0,5.8,50.0,1.61,15.0
Jens Grahl,de GER,GK,Eint Frankfurt,34,1988,2.0,2.0,180.0,2.0,2.0,1.0,9.0,7.0,77.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,1.4,0.15,-0.6,-0.31,4.0,29.0,13.8,77.0,15.0,31.2,34.4,15.0,33.3,37.9,33.0,4.0,12.1,4.0,2.0,15.7
Péter Gulácsi,hu HUN,GK,RB Leipzig,33,1990,13.0,13.0,1170.0,13.0,9.0,0.69,41.0,33.0,78.0,9.0,4.0,0.0,5.0,38.5,1.0,0.0,0.0,1.0,0.0,Matches,1.0,1.0,1.0,10.3,0.25,2.3,0.17,22.0,79.0,27.8,373.0,58.0,12.9,25.1,97.0,32.0,32.2,175.0,7.0,4.0,14.0,1.08,14.5
Lukáš Hrádecký,fi FIN,GK,Leverkusen,33,1989,33.0,33.0,2970.0,33.0,24.0,0.73,102.0,78.0,76.5,28.0,5.0,0.0,15.0,45.5,0.0,0.0,0.0,0.0,0.0,Matches,0.0,4.0,0.0,27.5,0.27,3.5,0.11,71.0,202.0,35.1,736.0,165.0,20.8,27.6,145.0,33.8,34.5,313.0,27.0,8.6,39.0,1.18,16.5
Gregor Kobel,ch SUI,GK,Dortmund,25,1997,27.0,27.0,2365.0,26.3,34.0,1.29,118.0,84.0,75.4,14.0,8.0,5.0,7.0,25.9,6.0,5.0,1.0,0.0,16.7,Matches,0.0,9.0,1.0,36.8,0.28,3.8,0.14,106.0,268.0,39.6,1006.0,106.0,19.6,28.1,165.0,43.0,38.5,359.0,7.0,1.9,17.0,0.65,12.5
Tomáš Koubek,cz CZE,GK,Augsburg,30,1992,3.0,3.0,270.0,3.0,8.0,2.67,25.0,17.0,68.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,2.0,0.0,6.7,0.29,-1.3,-0.43,16.0,40.0,40.0,74.0,6.0,36.5,34.5,24.0,54.2,46.5,36.0,2.0,5.6,2.0,0.67,11.6
Matej Kovar,cz CZE,GK,Leverkusen,23,2000,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.4,0.15,0.4,0.44,0.0,0.0,0.0,17.0,6.0,0.0,22.1,0.0,0.0,0.0,3.0,1.0,33.3,1.0,1.0,15.0
Andreas Luthe,de GER,GK,Bochum,36,1987,1.0,1.0,90.0,1.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,1.0,2.7,0.68,-0.3,-0.3,20.0,43.0,46.5,42.0,2.0,85.7,51.3,7.0,100.0,61.1,13.0,0.0,0.0,0.0,0.0,7.7
Alexander Meyer,de GER,GK,Dortmund,32,1991,8.0,7.0,695.0,7.7,9.0,1.17,27.0,19.0,66.7,4.0,1.0,2.0,3.0,42.9,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,1.0,7.8,0.3,-0.2,-0.03,27.0,81.0,33.3,334.0,29.0,20.1,28.3,31.0,45.2,42.1,107.0,8.0,7.5,7.0,0.91,14.5
Kevin Müller,de GER,GK,Heidenheim,32,1991,34.0,34.0,3060.0,34.0,55.0,1.62,174.0,121.0,72.4,10.0,12.0,12.0,6.0,17.6,10.0,7.0,1.0,2.0,12.5,Matches,0.0,7.0,3.0,53.6,0.27,1.6,0.05,249.0,595.0,41.8,1164.0,167.0,35.2,35.9,316.0,58.5,46.1,495.0,24.0,4.8,17.0,0.5,13.2
Manuel Neuer,de GER,GK,Bayern Munich,37,1986,23.0,23.0,2053.0,22.8,33.0,1.45,93.0,59.0,66.7,16.0,1.0,6.0,6.0,26.1,3.0,2.0,1.0,0.0,33.3,Matches,1.0,1.0,0.0,29.1,0.29,-3.9,-0.17,73.0,159.0,45.9,779.0,110.0,18.6,27.7,97.0,14.4,26.0,231.0,9.0,3.9,32.0,1.4,17.5
Moritz Nicolas,de GER,GK,Gladbach,25,1997,27.0,27.0,2430.0,27.0,49.0,1.81,160.0,111.0,71.9,6.0,11.0,10.0,4.0,14.8,4.0,4.0,0.0,0.0,0.0,Matches,0.0,6.0,0.0,45.1,0.26,-3.9,-0.14,112.0,315.0,35.6,888.0,140.0,26.0,29.7,161.0,52.2,42.5,460.0,21.0,4.6,22.0,0.81,13.2
Alexander Nübel,de GER,GK,Stuttgart,26,1996,30.0,30.0,2700.0,30.0,36.0,1.2,107.0,74.0,69.2,20.0,3.0,7.0,11.0,36.7,3.0,3.0,0.0,0.0,0.0,Matches,0.0,5.0,3.0,30.8,0.27,-2.2,-0.07,126.0,291.0,43.3,1103.0,132.0,23.1,28.7,112.0,32.1,32.7,341.0,30.0,8.8,57.0,1.9,17.3
Jonas Omlin,ch SUI,GK,Gladbach,29,1994,7.0,7.0,630.0,7.0,18.0,2.57,47.0,29.0,66.0,1.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,13.3,0.24,-4.7,-0.67,32.0,90.0,35.6,242.0,37.0,30.2,32.3,34.0,50.0,41.8,78.0,7.0,9.0,12.0,1.71,15.3
Jiří Pavlenka,cz CZE,GK,Werder Bremen,31,1992,7.0,7.0,630.0,7.0,17.0,2.43,38.0,21.0,60.5,2.0,0.0,5.0,1.0,14.3,2.0,2.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,13.1,0.3,-3.9,-0.56,31.0,85.0,36.5,177.0,37.0,37.9,34.2,69.0,26.1,32.5,109.0,7.0,6.4,9.0,1.29,14.4
Daniel Peretz,il ISR,GK,Bayern Munich,23,2000,1.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,3.0,26.7,33.1,2.0,0.0,16.5,2.0,0.0,0.0,0.0,0.0,0.0
Pavao Pervan,at AUT,GK,Wolfsburg,35,1987,9.0,9.0,810.0,9.0,17.0,1.89,36.0,20.0,52.8,2.0,1.0,6.0,2.0,22.2,0.0,0.0,0.0,0.0,0.0,Matches,2.0,2.0,1.0,11.5,0.32,-4.5,-0.51,40.0,104.0,38.5,263.0,39.0,33.5,32.8,37.0,43.2,39.6,127.0,1.0,0.8,3.0,0.33,12.1
Manuel Riemann,de GER,GK,Bochum,34,1988,33.0,33.0,2970.0,33.0,70.0,2.12,185.0,116.0,67.0,7.0,12.0,14.0,4.0,12.1,11.0,9.0,2.0,0.0,18.2,Matches,0.0,9.0,3.0,59.6,0.27,-7.4,-0.22,430.0,1041.0,41.3,1498.0,89.0,61.0,42.5,208.0,61.1,46.9,510.0,35.0,6.9,104.0,3.15,19.8
Frederik Rønnow,dk DEN,GK,Union Berlin,30,1992,33.0,33.0,2970.0,33.0,56.0,1.7,162.0,105.0,68.5,9.0,6.0,18.0,7.0,21.2,7.0,5.0,2.0,0.0,28.6,Matches,2.0,7.0,1.0,51.7,0.28,-3.3,-0.1,198.0,525.0,37.7,1096.0,174.0,35.2,33.6,218.0,63.8,47.4,539.0,54.0,10.0,37.0,1.12,12.9
Marcel Schuhen,de GER,GK,Darmstadt 98,30,1993,31.0,31.0,2790.0,31.0,76.0,2.45,198.0,123.0,62.1,3.0,7.0,21.0,3.0,9.7,2.0,1.0,1.0,0.0,50.0,Matches,2.0,7.0,2.0,68.0,0.34,-6.0,-0.19,245.0,618.0,39.6,1204.0,182.0,36.3,34.8,289.0,62.6,48.5,453.0,24.0,5.3,51.0,1.65,16.5
Marvin Schwäbe,de GER,GK,Köln,28,1995,34.0,34.0,3060.0,34.0,60.0,1.76,168.0,108.0,66.1,5.0,12.0,17.0,4.0,11.8,3.0,3.0,0.0,0.0,0.0,Matches,0.0,10.0,0.0,62.0,0.36,2.0,0.06,135.0,372.0,36.3,1148.0,101.0,28.4,31.4,149.0,30.9,34.3,504.0,14.0,2.8,21.0,0.62,13.4
Alexander Schwolow,de GER,GK,Union Berlin,31,1992,1.0,1.0,90.0,1.0,2.0,2.0,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,1.2,0.2,-0.8,-0.81,4.0,10.0,40.0,28.0,4.0,32.1,34.1,8.0,12.5,28.4,13.0,0.0,0.0,0.0,0.0,5.0
Kevin Trapp,de GER,GK,Eint Frankfurt,33,1990,32.0,32.0,2880.0,32.0,48.0,1.5,137.0,87.0,71.5,10.0,13.0,9.0,7.0,21.9,11.0,9.0,2.0,0.0,18.2,Matches,0.0,4.0,0.0,48.3,0.28,0.3,0.01,102.0,361.0,28.3,949.0,137.0,28.9,29.8,212.0,41.0,36.2,452.0,16.0,3.5,30.0,0.94,15.2
Sven Ulreich,de GER,GK,Bayern Munich,34,1988,11.0,11.0,990.0,11.0,12.0,1.09,31.0,19.0,64.5,7.0,2.0,2.0,4.0,36.4,1.0,1.0,0.0,0.0,0.0,Matches,1.0,2.0,0.0,11.8,0.35,-0.2,-0.01,26.0,79.0,32.9,348.0,57.0,20.4,26.2,47.0,17.0,26.4,108.0,5.0,4.6,16.0,1.45,19.9
Robin Zentner,de GER,GK,Mainz 05,28,1994,30.0,30.0,2700.0,30.0,48.0,1.6,128.0,81.0,64.8,7.0,12.0,11.0,7.0,23.3,4.0,3.0,0.0,1.0,0.0,Matches,1.0,2.0,1.0,49.2,0.37,2.2,0.07,180.0,512.0,35.2,862.0,146.0,47.3,38.5,177.0,58.8,46.4,393.0,42.0,10.7,48.0,1.6,16.0
Michael Zetterer,de GER,GK,Werder Bremen,28,1995,27.0,27.0,2430.0,27.0,37.0,1.37,128.0,92.0,74.2,9.0,9.0,9.0,6.0,22.2,4.0,4.0,0.0,0.0,0.0,Matches,0.0,4.0,1.0,41.0,0.3,5.0,0.18,145.0,330.0,43.9,977.0,161.0,28.5,32.7,144.0,36.1,38.1,407.0,34.0,8.4,30.0,1.11,14.6
Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15.0,15.0,1350.0,15.0,26.0,1.73,63.0,37.0,63.5,4.0,2.0,9.0,2.0,13.3,4.0,3.0,1.0,0.0,25.0,Matches,0.0,1.0,1.0,19.8,0.25,-5.2,-0.35,56.0,183.0,30.6,440.0,57.0,36.4,34.4,61.0,37.7,36.0,203.0,19.0,9.4,21.0,1.4,13.4
Dimitry Bertaud,cd COD,GK,Montpellier,25,1998,4.0,4.0,360.0,4.0,11.0,2.75,34.0,23.0,67.6,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,1.0,0.0,10.9,0.32,-0.1,-0.02,18.0,61.0,29.5,118.0,26.0,42.4,38.0,23.0,47.8,42.5,56.0,3.0,5.4,0.0,0.0,9.6
Marco Bizot,nl NED,GK,Brest,32,1991,32.0,32.0,2876.0,32.0,34.0,1.06,129.0,94.0,75.2,15.0,10.0,7.0,13.0,40.6,3.0,2.0,1.0,0.0,33.3,Matches,0.0,4.0,0.0,36.2,0.27,2.2,0.07,232.0,482.0,48.1,908.0,134.0,39.3,35.1,188.0,66.5,47.3,382.0,18.0,4.7,41.0,1.28,15.7
Rubén Blanco,es ESP,GK,Marseille,28,1995,2.0,1.0,121.0,1.3,2.0,1.49,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,1.3,0.21,-0.7,-0.55,5.0,12.0,41.7,41.0,6.0,26.8,28.4,10.0,10.0,27.0,24.0,4.0,16.7,1.0,0.74,10.4
Marcin Bułka,pl POL,GK,Nice,23,1999,34.0,34.0,3060.0,34.0,29.0,0.85,105.0,74.0,77.1,15.0,10.0,9.0,17.0,50.0,8.0,5.0,3.0,0.0,37.5,Matches,0.0,1.0,1.0,30.7,0.22,2.7,0.08,74.0,189.0,39.2,1086.0,158.0,14.4,23.9,147.0,22.4,25.5,376.0,32.0,8.5,21.0,0.62,12.2
Lucas Chevalier,fr FRA,GK,Lille,21,2001,33.0,33.0,2969.0,33.0,32.0,0.97,123.0,91.0,76.4,16.0,10.0,7.0,15.0,45.5,5.0,3.0,2.0,0.0,40.0,Matches,0.0,2.0,2.0,35.7,0.26,5.7,0.17,101.0,344.0,29.4,1059.0,121.0,26.5,29.6,123.0,51.2,44.5,388.0,25.0,6.4,28.0,0.85,12.7
Grégoire Coudert,fr FRA,GK,Brest,24,1999,3.0,2.0,181.0,2.0,0.0,0.0,4.0,4.0,100.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.3,0.07,0.3,0.13,12.0,36.0,33.3,70.0,10.0,41.4,37.2,10.0,70.0,55.4,24.0,0.0,0.0,2.0,0.99,23.0
Rémy Descamps,fr FRA,GK,Nantes,27,1996,6.0,6.0,540.0,6.0,11.0,1.83,37.0,26.0,73.0,2.0,2.0,2.0,1.0,16.7,2.0,1.0,0.0,1.0,0.0,Matches,0.0,0.0,0.0,12.5,0.35,1.5,0.26,51.0,125.0,40.8,141.0,28.0,51.1,40.3,71.0,74.6,49.8,116.0,8.0,6.9,0.0,0.0,7.8
Arthur Desmas,fr FRA,GK,Le Havre,29,1994,33.0,33.0,2970.0,33.0,43.0,1.3,153.0,111.0,72.5,7.0,11.0,15.0,7.0,21.2,3.0,1.0,1.0,1.0,50.0,Matches,0.0,5.0,2.0,47.0,0.3,6.0,0.18,155.0,454.0,34.1,719.0,135.0,46.9,37.1,222.0,52.7,39.1,470.0,32.0,6.8,24.0,0.73,12.5
Mory Diaw,sn SEN,GK,Clermont Foot,30,1993,30.0,30.0,2700.0,30.0,54.0,1.8,188.0,134.0,74.5,4.0,8.0,18.0,5.0,16.7,8.0,6.0,1.0,1.0,14.3,Matches,0.0,5.0,1.0,57.1,0.28,4.1,0.14,206.0,558.0,36.9,1065.0,129.0,42.8,36.7,176.0,58.0,44.5,439.0,39.0,8.9,46.0,1.53,14.4
Guillaume Dietsch,fr FRA,GK,Metz,22,2001,1.0,0.0,73.0,0.8,1.0,1.23,3.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,0.8,0.31,-0.2,-0.21,6.0,16.0,37.5,19.0,3.0,47.4,36.4,7.0,100.0,63.0,14.0,1.0,7.1,0.0,0.0,3.0
Yehvann Diouf,fr FRA,GK,Reims,23,1999,34.0,34.0,3060.0,34.0,47.0,1.38,137.0,90.0,70.1,13.0,8.0,13.0,8.0,23.5,7.0,6.0,1.0,0.0,14.3,Matches,1.0,4.0,1.0,42.7,0.27,-3.3,-0.1,124.0,353.0,35.1,1135.0,179.0,25.2,30.1,157.0,42.7,36.9,522.0,38.0,7.3,46.0,1.35,14.2
Gianluigi Donnarumma,it ITA,GK,Paris S-G,24,1999,25.0,25.0,2169.0,24.1,20.0,0.83,110.0,89.0,84.5,18.0,6.0,1.0,10.0,40.0,4.0,3.0,1.0,0.0,25.0,Matches,0.0,2.0,0.0,30.3,0.25,10.3,0.43,36.0,94.0,38.3,641.0,113.0,11.4,24.2,131.0,16.0,23.0,294.0,15.0,5.1,23.0,0.95,13.2
Mathieu Gorgelin,fr FRA,GK,Le Havre,32,1990,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,2.9,0.39,0.9,0.92,3.0,9.0,33.3,17.0,0.0,47.1,33.1,2.0,50.0,32.5,12.0,0.0,0.0,1.0,1.0,14.5
Philipp Köhn,ch SUI,GK,Monaco,25,1998,22.0,22.0,1980.0,22.0,32.0,1.45,97.0,65.0,72.2,11.0,5.0,6.0,5.0,22.7,6.0,5.0,1.0,0.0,16.7,Matches,1.0,6.0,1.0,32.0,0.27,1.0,0.05,82.0,249.0,32.9,536.0,91.0,32.5,32.1,130.0,57.7,43.5,282.0,22.0,7.8,19.0,0.86,11.3
Alban Lafont,fr FRA,GK,Nantes,24,1999,28.0,28.0,2496.0,27.7,43.0,1.55,118.0,75.0,70.3,7.0,4.0,17.0,7.0,25.0,8.0,8.0,0.0,0.0,0.0,Matches,0.0,2.0,0.0,42.4,0.31,-0.6,-0.02,123.0,388.0,31.7,839.0,145.0,34.2,34.0,166.0,60.8,46.9,385.0,33.0,8.6,33.0,1.19,13.0
Jean-Louis Leca,fr FRA,GK,Lens,37,1985,1.0,1.0,90.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0,0.0,0.0,1.0,0.49,-1.0,-1.03,1.0,10.0,10.0,22.0,5.0,31.8,29.0,4.0,75.0,60.5,8.0,0.0,0.0,0.0,0.0,9.8
Benjamin Lecomte,fr FRA,GK,Montpellier,32,1991,30.0,30.0,2700.0,30.0,37.0,1.23,137.0,102.0,75.9,9.0,11.0,10.0,10.0,33.3,5.0,4.0,1.0,0.0,20.0,Matches,2.0,3.0,3.0,36.8,0.24,2.8,0.09,150.0,436.0,34.4,781.0,137.0,44.2,36.6,221.0,41.2,36.4,471.0,29.0,6.2,13.0,0.43,9.5
Anthony Lopes,pt POR,GK,Lyon,32,1990,31.0,31.0,2790.0,31.0,49.0,1.58,155.0,106.0,71.0,16.0,4.0,11.0,9.0,29.0,6.0,4.0,1.0,1.0,20.0,Matches,1.0,7.0,1.0,43.5,0.25,-4.5,-0.15,132.0,362.0,36.5,839.0,156.0,34.1,32.4,196.0,38.8,34.1,438.0,36.0,8.2,28.0,0.9,12.4
